title,company
Data Analyst Associate,Northeastern University - D'Amore-McKim Office of the Dean
Data Analyst Intern,Orbit Ventures
Data Analyst Co-op,Combined Jewish Philanthropies
Research Data Analyst,Northeastern University
Program Coordinator / Data Analyst (2),ASTRAZENECA PLC
Healthcare Data Analyst Co-op,S2n Health LLC
Sales Development Representative,Starburst Data
Data analyst of sustainability in the US building stock,Northeastern
Field Auditor,Data Quest LTD
Program Management Co-op – Finance Team,International Data Group (IDG)
Market Analyst,Northeastern University-Project Management Office
Data Engineer,Steelcase
Data Engineer,Steelcase
Product Analyst Co-op,Dodge Construction Network
Financial Analyst Co-op,Tiger Group
Special Education Analyst (SY25-26),Boston Public Schools (BPS)
Backend Data Engineer,Mira Intel
Deal Team Analyst Co-op,Boston Millennia Partners
Data Engineer Co-Op,Plymouth Rock Assurance Company
Deal Team Analyst Co-op,Boston Millennia Partners
